antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'home & kitchen - Kitchen Storage & Containers'}),frozenset({'appliances - Refrigerators'}),0.055466666666666664,0.047466666666666664,0.0056,0.10096153846153846,2.1269987035436477,0.0029671822222222225,1.0595023172905527
frozenset({'appliances - Refrigerators'}),frozenset({'home & kitchen - Home Improvement'}),0.047466666666666664,0.04346666666666667,0.0061333333333333335,0.12921348314606743,2.972702833115048,0.004070115555555556,1.0984705376344086
frozenset({'home & kitchen - Home Improvement'}),frozenset({'appliances - Refrigerators'}),0.04346666666666667,0.047466666666666664,0.0061333333333333335,0.1411042944785276,2.972702833115048,0.004070115555555556,1.1090209523809524
frozenset({'home & kitchen - Home Improvement'}),frozenset({'appliances - Heating & Cooling Appliances'}),0.04346666666666667,0.046933333333333334,0.007466666666666667,0.17177914110429449,3.6600669269380925,0.005426631111111111,1.1507397530864196
frozenset({'appliances - Heating & Cooling Appliances'}),frozenset({'home & kitchen - Home Improvement'}),0.046933333333333334,0.04346666666666667,0.007466666666666667,0.1590909090909091,3.6600669269380925,0.005426631111111111,1.137499099099099
frozenset({'appliances - Refrigerators'}),frozenset({'home & kitchen - Furniture'}),0.047466666666666664,0.03626666666666667,0.0056,0.11797752808988765,3.2530568407138136,0.003878542222222222,1.09264033970276
frozenset({'home & kitchen - Furniture'}),frozenset({'appliances - Refrigerators'}),0.03626666666666667,0.047466666666666664,0.0056,0.15441176470588233,3.253056840713813,0.003878542222222222,1.1264742028985508
frozenset({'home & kitchen - Furniture'}),frozenset({'home & kitchen - Home Improvement'}),0.03626666666666667,0.04346666666666667,0.005066666666666666,0.13970588235294115,3.2140923854204253,0.003490275555555555,1.1118678062678062
frozenset({'home & kitchen - Home Improvement'}),frozenset({'home & kitchen - Furniture'}),0.04346666666666667,0.03626666666666667,0.005066666666666666,0.1165644171779141,3.2140923854204253,0.003490275555555555,1.0908925925925925
frozenset({'appliances - Washing Machines'}),frozenset({'home & kitchen - Furniture'}),0.038933333333333334,0.03626666666666667,0.005066666666666666,0.13013698630136986,3.588336019339242,0.003654684444444444,1.1079139107611549
frozenset({'home & kitchen - Furniture'}),frozenset({'appliances - Washing Machines'}),0.03626666666666667,0.038933333333333334,0.005066666666666666,0.13970588235294115,3.5883360193392417,0.003654684444444444,1.1171373219373217
frozenset({'home & kitchen - Indoor Lighting'}),frozenset({'home & kitchen - Furniture'}),0.0416,0.03626666666666667,0.0056,0.1346153846153846,3.7118212669683253,0.004091306666666667,1.1136474074074074
frozenset({'home & kitchen - Furniture'}),frozenset({'home & kitchen - Indoor Lighting'}),0.03626666666666667,0.0416,0.0056,0.15441176470588233,3.7118212669683253,0.004091306666666667,1.1334121739130436
frozenset({'home & kitchen - Garden & Outdoors'}),frozenset({'home & kitchen - Furniture'}),0.037333333333333336,0.03626666666666667,0.005066666666666666,0.1357142857142857,3.742121848739495,0.0037127111111111104,1.1150633608815426
frozenset({'home & kitchen - Furniture'}),frozenset({'home & kitchen - Garden & Outdoors'}),0.03626666666666667,0.037333333333333336,0.005066666666666666,0.13970588235294115,3.7421218487394947,0.0037127111111111104,1.118997150997151
frozenset({'home & kitchen - Furniture'}),frozenset({'appliances - Heating & Cooling Appliances'}),0.03626666666666667,0.046933333333333334,0.005066666666666666,0.13970588235294115,2.9766878342245984,0.0033645511111111107,1.1078381766381764
frozenset({'appliances - Heating & Cooling Appliances'}),frozenset({'home & kitchen - Furniture'}),0.046933333333333334,0.03626666666666667,0.005066666666666666,0.10795454545454544,2.9766878342245984,0.0033645511111111107,1.0803634819532908
frozenset({'home & kitchen - Home Storage'}),frozenset({'home & kitchen - Furniture'}),0.0392,0.03626666666666667,0.0056,0.14285714285714285,3.9390756302521,0.004178346666666667,1.1243555555555556
frozenset({'home & kitchen - Furniture'}),frozenset({'home & kitchen - Home Storage'}),0.03626666666666667,0.0392,0.0056,0.15441176470588233,3.9390756302521006,0.004178346666666667,1.1362504347826088
frozenset({'home & kitchen - Kitchen Storage & Containers'}),frozenset({'appliances - Heating & Cooling Appliances'}),0.055466666666666664,0.046933333333333334,0.007466666666666667,0.1346153846153846,2.868225524475524,0.004863431111111111,1.1013214814814813
frozenset({'appliances - Heating & Cooling Appliances'}),frozenset({'home & kitchen - Kitchen Storage & Containers'}),0.046933333333333334,0.055466666666666664,0.007466666666666667,0.1590909090909091,2.8682255244755246,0.004863431111111111,1.1232288288288288
frozenset({'home & kitchen - Kitchen & Dining'}),frozenset({'appliances - Heating & Cooling Appliances'}),0.0536,0.046933333333333334,0.0088,0.16417910447761194,3.498134328358209,0.006284373333333334,1.1402761904761904
frozenset({'appliances - Heating & Cooling Appliances'}),frozenset({'home & kitchen - Kitchen & Dining'}),0.046933333333333334,0.0536,0.0088,0.1875,3.498134328358209,0.006284373333333334,1.1648
